ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
DT,SHAP,S,0.499033317184148,0.499033317184148,1
DT,SHAP,Duration,0.24017917568783895,0.24017917568783895,2
DT,SHAP,P,0.03867099589421364,0.03867099589421364,3
DT,SHAP,Proto_UDP,0.034571372787036675,0.034571372787036675,4
DT,SHAP,Tos,0.030593544845940648,0.030593544845940648,5
DT,SHAP,A,-0.02228172480275095,0.02228172480275095,6
DT,SHAP,F,0.02194186796458437,0.02194186796458437,7
DT,SHAP,Packets,-0.010948899171416948,0.010948899171416948,8
DT,SHAP,R,-0.0022885696169683886,0.0022885696169683886,9
DT,SHAP,Proto_TCP,0.0,0.0,10
DT,LIME,S,0.1920515448505192,0.1920515448505192,1
DT,LIME,Tos,0.17196551188743034,0.17196551188743034,2
DT,LIME,F,0.08268809518405351,0.08268809518405351,3
DT,LIME,P,0.05051973258725128,0.05051973258725128,4
DT,LIME,Duration,0.05048522458781552,0.05048522458781552,5
DT,LIME,Proto_UDP,0.036944824776571725,0.036944824776571725,6
DT,LIME,Packets,0.017903996278300128,0.017903996278300128,7
DT,LIME,R,-0.005460788641820741,0.005460788641820741,8
DT,LIME,Proto_TCP,0.0,0.0,9
DT,LIME,A,0.0,0.0,10
DT,TI,Duration,0.4154634100619411,0.4154634100619411,1
DT,TI,S,0.3452803103378026,0.3452803103378026,2
DT,TI,Tos,0.04907759643241372,0.04907759643241372,3
DT,TI,F,0.019588440582397282,0.019588440582397282,4
DT,TI,P,6.1323358067078e-05,6.1323358067078e-05,5
DT,TI,Packets,0.0,0.0,6
DT,TI,A,0.0,0.0,7
DT,TI,R,0.0,0.0,8
DT,TI,Proto_UDP,0.0,0.0,9
DT,TI,Proto_TCP,0.0,0.0,10
RF,SHAP,S,0.32048934949271707,0.32048934949271707,1
RF,SHAP,F,0.12816235493908051,0.12816235493908051,2
RF,SHAP,P,0.12049632801859121,0.12049632801859121,3
RF,SHAP,Duration,0.1058151356463519,0.1058151356463519,4
RF,SHAP,Packets,0.10573350068544786,0.10573350068544786,5
RF,SHAP,Tos,0.050441928278999695,0.050441928278999695,6
RF,SHAP,A,-0.02409402146094761,0.02409402146094761,7
RF,SHAP,Proto_UDP,0.02153841291539952,0.02153841291539952,8
RF,SHAP,Proto_TCP,0.0030061427501122165,0.0030061427501122165,9
RF,SHAP,R,-0.0021260760993373376,0.0021260760993373376,10
RF,LIME,S,0.15167465096960622,0.15167465096960622,1
RF,LIME,Tos,0.11380660488570299,0.11380660488570299,2
RF,LIME,Duration,0.05513703639821143,0.05513703639821143,3
RF,LIME,P,0.04370255804510376,0.04370255804510376,4
RF,LIME,Proto_UDP,0.041515622159197206,0.041515622159197206,5
RF,LIME,R,-0.03033131290984393,0.03033131290984393,6
RF,LIME,F,0.027588672482112504,0.027588672482112504,7
RF,LIME,Packets,0.01533188881142283,0.01533188881142283,8
RF,LIME,Proto_TCP,0.0,0.0,9
RF,LIME,A,0.0,0.0,10
RF,TI,S,0.30498004938557693,0.30498004938557693,1
RF,TI,F,0.1725132188209153,0.1725132188209153,2
RF,TI,Packets,0.15095565879437747,0.15095565879437747,3
RF,TI,Duration,0.10711032244622377,0.10711032244622377,4
RF,TI,P,0.05940702624374961,0.05940702624374961,5
RF,TI,Tos,0.04865066224586233,0.04865066224586233,6
RF,TI,A,-0.01658201828017631,0.01658201828017631,7
RF,TI,Proto_TCP,0.0019314416882635606,0.0019314416882635606,8
RF,TI,Proto_UDP,0.0013719530363549715,0.0013719530363549715,9
RF,TI,R,-0.000875259214739822,0.000875259214739822,10
LGBM,SHAP,S,5.709901644200423,5.709901644200423,1
LGBM,SHAP,Duration,2.6585880514228353,2.6585880514228353,2
LGBM,SHAP,F,0.9073380809824507,0.9073380809824507,3
LGBM,SHAP,Proto_UDP,0.3511948837652276,0.3511948837652276,4
LGBM,SHAP,Tos,0.35076432461078905,0.35076432461078905,5
LGBM,SHAP,A,-0.2674499673138703,0.2674499673138703,6
LGBM,SHAP,P,0.09276218649515897,0.09276218649515897,7
LGBM,SHAP,Packets,-0.03122490469506406,0.03122490469506406,8
LGBM,SHAP,R,-0.020256462329175395,0.020256462329175395,9
LGBM,SHAP,Proto_TCP,-0.00015144406235015603,0.00015144406235015603,10
LGBM,LIME,S,0.21530299735298392,0.21530299735298392,1
LGBM,LIME,F,0.17305554507972026,0.17305554507972026,2
LGBM,LIME,R,-0.1720740572587004,0.1720740572587004,3
LGBM,LIME,Tos,0.08279210679270757,0.08279210679270757,4
LGBM,LIME,Duration,0.058552430528455546,0.058552430528455546,5
LGBM,LIME,P,0.010506334742992157,0.010506334742992157,6
LGBM,LIME,Packets,-0.006206529119875595,0.006206529119875595,7
LGBM,LIME,Proto_UDP,0.0030511428685745007,0.0030511428685745007,8
LGBM,LIME,Proto_TCP,0.0,0.0,9
LGBM,LIME,A,0.0,0.0,10
SLP,SHAP,S,3.2474656105041504,3.2474656105041504,1
SLP,SHAP,F,2.1020336151123047,2.1020336151123047,2
SLP,SHAP,Tos,1.5558059215545654,1.5558059215545654,3
SLP,SHAP,Duration,0.9015241265296936,0.9015241265296936,4
SLP,SHAP,P,0.670845091342926,0.670845091342926,5
SLP,SHAP,A,-0.40335410833358765,0.40335410833358765,6
SLP,SHAP,Proto_UDP,0.39546486735343933,0.39546486735343933,7
SLP,SHAP,Proto_TCP,-0.18918092548847198,0.18918092548847198,8
SLP,SHAP,R,0.08607551455497742,0.08607551455497742,9
SLP,SHAP,Packets,0.0004083689709659666,0.0004083689709659666,10
SLP,LIME,S,0.3005164673067804,0.3005164673067804,1
SLP,LIME,Tos,0.17973864500135855,0.17973864500135855,2
SLP,LIME,F,0.17116930663387223,0.17116930663387223,3
SLP,LIME,Proto_UDP,0.12201996535816768,0.12201996535816768,4
SLP,LIME,Duration,0.09545319802877202,0.09545319802877202,5
SLP,LIME,R,-0.07958182548408219,0.07958182548408219,6
SLP,LIME,P,0.01472754810804961,0.01472754810804961,7
SLP,LIME,Packets,0.007902807457141175,0.007902807457141175,8
SLP,LIME,A,0.0,0.0,9
SLP,LIME,Proto_TCP,0.0,0.0,10
SLP,Saliency,Duration,23837.359375,23837.359375,1
SLP,Saliency,Tos,218.18606567382812,218.18606567382812,2
SLP,Saliency,Packets,45.5584716796875,45.5584716796875,3
SLP,Saliency,S,16.398202896118164,16.398202896118164,4
SLP,Saliency,R,9.862649917602539,9.862649917602539,5
SLP,Saliency,Proto_UDP,9.495367050170898,9.495367050170898,6
SLP,Saliency,F,7.543588638305664,7.543588638305664,7
SLP,Saliency,Proto_TCP,7.363644123077393,7.363644123077393,8
SLP,Saliency,P,3.8556389808654785,3.8556389808654785,9
SLP,Saliency,A,1.9020062685012817,1.9020062685012817,10
SLP,DeepLIFT,S,7.7508649826049805,7.7508649826049805,1
SLP,DeepLIFT,Proto_TCP,-6.321375370025635,6.321375370025635,2
SLP,DeepLIFT,F,5.606288433074951,5.606288433074951,3
SLP,DeepLIFT,A,-3.6795380115509033,3.6795380115509033,4
SLP,DeepLIFT,Packets,-0.0014895747881382704,0.0014895747881382704,5
SLP,DeepLIFT,Duration,-0.0,0.0,6
SLP,DeepLIFT,Tos,-0.0,0.0,7
SLP,DeepLIFT,R,0.0,0.0,8
SLP,DeepLIFT,Proto_UDP,-0.0,0.0,9
SLP,DeepLIFT,P,-0.0,0.0,10
SLP,IG,S,7.89674228025924,7.89674228025924,1
SLP,IG,Proto_TCP,-6.443481283508359,6.443481283508359,2
SLP,IG,F,5.628798240895547,5.628798240895547,3
SLP,IG,A,-3.695738929007724,3.695738929007724,4
SLP,IG,Packets,-0.0014780731686597757,0.0014780731686597757,5
SLP,IG,Duration,-0.0,0.0,6
SLP,IG,Tos,-0.0,0.0,7
SLP,IG,R,0.0,0.0,8
SLP,IG,Proto_UDP,-0.0,0.0,9
SLP,IG,P,-0.0,0.0,10
MLP,SHAP,F,4.138087272644043,4.138087272644043,1
MLP,SHAP,S,2.8667988777160645,2.8667988777160645,2
MLP,SHAP,Tos,2.729052782058716,2.729052782058716,3
MLP,SHAP,P,1.0704244375228882,1.0704244375228882,4
MLP,SHAP,Proto_UDP,0.7974420785903931,0.7974420785903931,5
MLP,SHAP,Duration,0.7409027814865112,0.7409027814865112,6
MLP,SHAP,A,-0.49439337849617004,0.49439337849617004,7
MLP,SHAP,R,0.2917898893356323,0.2917898893356323,8
MLP,SHAP,Proto_TCP,-0.06494608521461487,0.06494608521461487,9
MLP,SHAP,Packets,0.0029974335338920355,0.0029974335338920355,10
MLP,LIME,Tos,0.3370112744933782,0.3370112744933782,1
MLP,LIME,Proto_UDP,0.2746493081207095,0.2746493081207095,2
MLP,LIME,R,0.24309032236387906,0.24309032236387906,3
MLP,LIME,F,0.20790386196185762,0.20790386196185762,4
MLP,LIME,P,0.13577707100875283,0.13577707100875283,5
MLP,LIME,Duration,0.08961008132500742,0.08961008132500742,6
MLP,LIME,Packets,0.02612377890023794,0.02612377890023794,7
MLP,LIME,S,-0.0130011662418032,0.0130011662418032,8
MLP,LIME,Proto_TCP,0.0,0.0,9
MLP,LIME,A,0.0,0.0,10
MLP,Saliency,Duration,21685.376953125,21685.376953125,1
MLP,Saliency,Tos,98.85149383544922,98.85149383544922,2
MLP,Saliency,Packets,30.90655517578125,30.90655517578125,3
MLP,Saliency,R,27.548126220703125,27.548126220703125,4
MLP,Saliency,Proto_UDP,25.30704689025879,25.30704689025879,5
MLP,Saliency,F,24.477123260498047,24.477123260498047,6
MLP,Saliency,A,21.262771606445312,21.262771606445312,7
MLP,Saliency,S,10.347420692443848,10.347420692443848,8
MLP,Saliency,P,1.5824484825134277,1.5824484825134277,9
MLP,Saliency,Proto_TCP,1.160158634185791,1.160158634185791,10
MLP,DeepLIFT,F,9.14345932006836,9.14345932006836,1
MLP,DeepLIFT,S,5.672186374664307,5.672186374664307,2
MLP,DeepLIFT,Proto_TCP,-5.083484649658203,5.083484649658203,3
MLP,DeepLIFT,A,-3.971923351287842,3.971923351287842,4
MLP,DeepLIFT,Packets,-0.00269759981893003,0.00269759981893003,5
MLP,DeepLIFT,Duration,-0.0,0.0,6
MLP,DeepLIFT,Tos,-0.0,0.0,7
MLP,DeepLIFT,R,-0.0,0.0,8
MLP,DeepLIFT,Proto_UDP,-0.0,0.0,9
MLP,DeepLIFT,P,-0.0,0.0,10
MLP,IG,F,14.284469243774858,14.284469243774858,1
MLP,IG,A,-7.631191949472175,7.631191949472175,2
MLP,IG,Proto_TCP,-7.037222143176482,7.037222143176482,3
MLP,IG,S,6.3478720656726235,6.3478720656726235,4
MLP,IG,Packets,-0.001575763379393594,0.001575763379393594,5
MLP,IG,Duration,-0.0,0.0,6
MLP,IG,Tos,-0.0,0.0,7
MLP,IG,R,-0.0,0.0,8
MLP,IG,Proto_UDP,-0.0,0.0,9
MLP,IG,P,0.0,0.0,10
